,year,tournament country,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament.1,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total,RF_win
10,1999,France,"Brest, France",25.10.1999,CH,Hard,Draw: 32,78,66.0,"$14,400",W,Max Mirnyi (BLR),90,"W 7-6(4), 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=453&y=1999&r=7&p=F324,Brest,F,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Max Mirnyi,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,1
11,1999,France,"Lyon, France",18.10.1999,WS,Carpet,Draw: 48,14,67.0,"$7,290",R64,Daniel Vacek (CZE),53,"W 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=1999&r=2&p=F324,Lyon,R64,70,Roger Federer,Roger Federer,Switzerland,2.0,1.0,33.0,57.0,25.0,33.0,15.0,24.0,4.0,5.0,9.0,9.0,32.0,22.0,37.0,4.0,7.0,10.0,40.0,57.0,31.0,69.0,71.0,126.0,Daniel Vacek,Czech Republic,3.0,4.0,32.0,69.0,23.0,32.0,15.0,37.0,3.0,7.0,10.0,8.0,33.0,9.0,24.0,1.0,5.0,9.0,38.0,69.0,17.0,57.0,55.0,126.0,1
12,1999,France,"Lyon, France",18.10.1999,WS,Carpet,Draw: 48,14,67.0,"$7,290",R32,Lleyton Hewitt (AUS),27,"L 6-7(4), 6-2, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=1999&r=3&p=F324,Lyon,R32,131,Lleyton Hewitt,Roger Federer,Switzerland,5.0,4.0,54.0,109.0,39.0,54.0,26.0,55.0,6.0,10.0,15.0,15.0,47.0,25.0,50.0,5.0,12.0,15.0,65.0,109.0,40.0,97.0,105.0,206.0,Lleyton Hewitt,Australia,3.0,1.0,47.0,97.0,32.0,47.0,25.0,50.0,7.0,12.0,15.0,15.0,54.0,29.0,55.0,4.0,10.0,15.0,57.0,97.0,44.0,109.0,101.0,206.0,0
13,1999,Austria,"Vienna, Austria",11.10.1999,CS,Hard,Draw: 32,128,93.0,"$34,700",R32,Vincent Spadea (USA),21,"W 6-4, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1999&r=3&p=F324,Vienna,R32,59,Roger Federer,Roger Federer,Switzerland,4.0,1.0,28.0,51.0,24.0,28.0,9.0,23.0,1.0,3.0,9.0,7.0,20.0,20.0,31.0,5.0,7.0,9.0,33.0,51.0,27.0,51.0,60.0,102.0,Vincent Spadea,United States,3.0,5.0,20.0,51.0,13.0,20.0,11.0,31.0,2.0,7.0,9.0,4.0,28.0,14.0,23.0,2.0,3.0,9.0,24.0,51.0,18.0,51.0,42.0,102.0,1
14,1999,Austria,"Vienna, Austria",11.10.1999,CS,Hard,Draw: 32,128,93.0,"$34,700",R16,Jiri Novak (CZE),34,"W 7-6(8), 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1999&r=4&p=F324,Vienna,R16,71,Roger Federer,Roger Federer,Switzerland,6.0,3.0,35.0,60.0,24.0,35.0,13.0,25.0,1.0,3.0,9.0,22.0,49.0,14.0,22.0,5.0,10.0,10.0,37.0,60.0,36.0,71.0,73.0,131.0,Jiri Novak,Czech Republic,0.0,2.0,49.0,71.0,27.0,49.0,8.0,22.0,5.0,10.0,10.0,11.0,35.0,12.0,25.0,2.0,3.0,9.0,35.0,71.0,23.0,60.0,58.0,131.0,1
15,1999,Austria,"Vienna, Austria",11.10.1999,CS,Hard,Draw: 32,128,93.0,"$34,700",Q,Karol Kucera (SVK),15,"W 2-6, 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1999&r=5&p=F324,Vienna,Q,89,Roger Federer,Roger Federer,Switzerland,6.0,4.0,45.0,77.0,38.0,45.0,14.0,32.0,3.0,5.0,13.0,14.0,41.0,17.0,38.0,3.0,10.0,12.0,52.0,77.0,31.0,79.0,83.0,156.0,Karol Kucera,Slovakia,6.0,6.0,41.0,79.0,27.0,41.0,21.0,38.0,7.0,10.0,12.0,7.0,45.0,18.0,32.0,2.0,5.0,13.0,48.0,79.0,25.0,77.0,73.0,156.0,1
16,1999,Austria,"Vienna, Austria",11.10.1999,CS,Hard,Draw: 32,128,93.0,"$34,700",S,Greg Rusedski (GBR),7,"L 3-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1999&r=6&p=F324,Vienna,S,62,Greg Rusedski,Roger Federer,Switzerland,4.0,3.0,41.0,63.0,28.0,41.0,11.0,22.0,1.0,3.0,9.0,3.0,31.0,5.0,17.0,0.0,0.0,10.0,39.0,63.0,8.0,48.0,47.0,111.0,Greg Rusedski,Great Britain,7.0,1.0,31.0,48.0,28.0,31.0,12.0,17.0,0.0,0.0,10.0,13.0,41.0,11.0,22.0,2.0,3.0,9.0,40.0,48.0,24.0,63.0,64.0,111.0,0
17,1999,Switzerland,"Basel, Switzerland",04.10.1999,WS,Carpet,Draw: 32,43,106.0,"$27,970",R32,Martin Damm (CZE),105,"W 6-2, 3-6, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1999&r=3&p=F324,Basel,R32,96,Roger Federer,Roger Federer,Switzerland,4.0,1.0,45.0,79.0,34.0,45.0,18.0,34.0,2.0,4.0,14.0,9.0,32.0,14.0,35.0,3.0,3.0,13.0,52.0,79.0,23.0,67.0,75.0,146.0,Martin Damm,Czech Republic,3.0,2.0,32.0,67.0,23.0,32.0,21.0,35.0,0.0,3.0,13.0,11.0,45.0,16.0,34.0,2.0,4.0,14.0,44.0,67.0,27.0,79.0,71.0,146.0,1
18,1999,Switzerland,"Basel, Switzerland",04.10.1999,WS,Carpet,Draw: 32,43,106.0,"$27,970",R16,Alexander Popp (GER),134,"W 6-2, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1999&r=4&p=F324,Basel,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Popp,Germany,,,,,,,,,,,,,,,,,,,,,,,,,1
19,1999,Switzerland,"Basel, Switzerland",04.10.1999,WS,Carpet,Draw: 32,43,106.0,"$27,970",Q,Tim Henman (GBR),6,"L 3-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=1999&r=5&p=F324,Basel,Q,84,Tim Henman,Roger Federer,Switzerland,2.0,3.0,54.0,79.0,28.0,54.0,14.0,25.0,6.0,10.0,10.0,13.0,45.0,8.0,20.0,2.0,3.0,11.0,42.0,79.0,21.0,65.0,63.0,144.0,Tim Henman,Great Britain,8.0,1.0,45.0,65.0,32.0,45.0,12.0,20.0,1.0,3.0,11.0,26.0,54.0,11.0,25.0,4.0,10.0,10.0,44.0,65.0,37.0,79.0,81.0,144.0,0
20,1999,France,"Toulouse, France",27.09.1999,WS,Hard,Draw: 32,24,96.0,"$6,250",R32,Rainer Schuettler (GER),46,"W 7-6(4), 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1999&r=3&p=F324,Toulouse,R32,74,Roger Federer,Roger Federer,Switzerland,7.0,2.0,44.0,65.0,33.0,44.0,13.0,21.0,0.0,0.0,10.0,19.0,52.0,13.0,24.0,2.0,6.0,9.0,46.0,65.0,32.0,76.0,78.0,141.0,Rainer Schuettler,Germany,0.0,3.0,52.0,76.0,33.0,52.0,11.0,24.0,4.0,6.0,9.0,11.0,44.0,8.0,21.0,0.0,0.0,10.0,44.0,76.0,19.0,65.0,63.0,141.0,1
21,1999,France,"Toulouse, France",27.09.1999,WS,Hard,Draw: 32,24,96.0,"$6,250",R16,Fabrice Santoro (FRA),39,"L 3-6, 6-7(3)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=327&y=1999&r=4&p=F324,Toulouse,R16,80,Fabrice Santoro,Roger Federer,Switzerland,6.0,3.0,49.0,82.0,30.0,49.0,15.0,33.0,6.0,9.0,11.0,9.0,39.0,7.0,19.0,1.0,1.0,10.0,45.0,82.0,16.0,58.0,61.0,140.0,Fabrice Santoro,France,2.0,1.0,39.0,58.0,30.0,39.0,12.0,19.0,0.0,1.0,10.0,19.0,49.0,18.0,33.0,3.0,9.0,11.0,42.0,58.0,37.0,82.0,79.0,140.0,0
22,1999,Uzbekistan,"Tashkent, Uzbekistan",13.09.1999,WS,Hard,Draw: 32,34,104.0,"$8,000",R32,Cedric Pioline (FRA),16,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=73&y=1999&r=3&p=F324,Tashkent,R32,53,Roger Federer,Roger Federer,Switzerland,9.0,2.0,28.0,47.0,21.0,28.0,14.0,19.0,1.0,2.0,9.0,14.0,31.0,15.0,32.0,4.0,9.0,10.0,35.0,47.0,29.0,63.0,64.0,110.0,Cedric Pioline,France,3.0,2.0,31.0,63.0,17.0,31.0,17.0,32.0,5.0,9.0,10.0,7.0,28.0,5.0,19.0,1.0,2.0,9.0,34.0,63.0,12.0,47.0,46.0,110.0,1
23,1999,Uzbekistan,"Tashkent, Uzbekistan",13.09.1999,WS,Hard,Draw: 32,34,104.0,"$8,000",R16,Peter Wessels (NED),92,"L 6-4, 6-7(1), 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=73&y=1999&r=4&p=F324,Tashkent,R16,100,Peter Wessels,Roger Federer,Switzerland,4.0,4.0,52.0,96.0,35.0,52.0,23.0,44.0,5.0,8.0,16.0,14.0,58.0,20.0,40.0,3.0,5.0,16.0,58.0,96.0,34.0,98.0,92.0,194.0,Peter Wessels,Netherlands,11.0,7.0,58.0,98.0,44.0,58.0,20.0,40.0,2.0,5.0,16.0,17.0,52.0,21.0,44.0,3.0,8.0,16.0,64.0,98.0,38.0,96.0,102.0,194.0,0
24,1999,United States of America,"Washington, DC, U.S.A.",16.08.1999,CS,Hard,Draw: 56,1,104.0,"$2,100",R64,Bjorn Phau (GER),407,"L 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=1999&r=2&p=F324,Washington,R64,68,Bjorn Phau,Roger Federer,Switzerland,1.0,4.0,42.0,76.0,26.0,42.0,11.0,34.0,4.0,9.0,9.0,10.0,30.0,9.0,25.0,1.0,7.0,8.0,37.0,76.0,19.0,55.0,56.0,131.0,Bjorn Phau,Germany,4.0,3.0,30.0,55.0,20.0,30.0,16.0,25.0,6.0,7.0,8.0,16.0,42.0,23.0,34.0,5.0,9.0,9.0,36.0,55.0,39.0,76.0,75.0,131.0,0
25,1999,Spain,"Segovia, Spain",02.08.1999,CH,Hard,Draw: 32,8,106.0,"$1,720",R32,Quino Munoz (ESP),520,"W 7-6(5), 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=783&y=1999&r=3&p=F324,Segovia,R32,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Quino Munoz,Spain,,,,,,,,,,,,,,,,,,,,,,,,,1
26,1999,Spain,"Segovia, Spain",02.08.1999,CH,Hard,Draw: 32,8,106.0,"$1,720",R16,Nicolas Escude (FRA),139,"L 6-3, 1-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=783&y=1999&r=4&p=F324,Segovia,R16,0,Nicolas Escude,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Escude,France,,,,,,,,,,,,,,,,,,,,,,,,,0
27,1999,Belgium,"SUI V BEL QF, Brussels, Belgium",16.07.1999,DC,Clay,Draw: 6,,109.0,$,RR,Christophe Van Garsse (BEL),146,"L 6-7(4), 6-3, 6-1, 5-7, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=907&y=1999&r=-6&p=F324,SUI V BEL QF,RR,0,Christophe Van Garsse,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Christophe Van Garsse,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0
28,1999,Belgium,"SUI V BEL QF, Brussels, Belgium",16.07.1999,DC,Clay,Draw: 6,,109.0,$,RR,Xavier Malisse (BEL),111,"L 6-4, 3-6, 5-7, 6-7(5)",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=907&y=1999&r=-4&p=F324,SUI V BEL QF,RR,0,Xavier Malisse,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Malisse,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0
29,1999,Switzerland,"Gstaad, Switzerland",05.07.1999,WS,Clay,Draw: 32,1,107.0,"$5,250",R32,Younes El Aynaoui (MAR),33,"L 2-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=1999&r=3&p=F324,Gstaad,R32,57,Younes El Aynaoui,Roger Federer,Switzerland,0.0,4.0,33.0,60.0,20.0,33.0,12.0,27.0,4.0,7.0,8.0,2.0,22.0,7.0,24.0,0.0,1.0,9.0,32.0,60.0,9.0,46.0,41.0,106.0,Younes El Aynaoui,Morocco,3.0,3.0,22.0,46.0,20.0,22.0,17.0,24.0,1.0,1.0,9.0,13.0,33.0,15.0,27.0,3.0,7.0,8.0,37.0,46.0,28.0,60.0,65.0,106.0,0
30,1999,Great Britain,"Wimbledon, England",21.06.1999,GS,Grass,Draw: 128,1,103.0,"$10,870",R128,Jiri Novak (CZE),59,"L 3-6, 6-3, 6-4, 3-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1999&r=1&p=F324,Wimbledon,R128,138,Jiri Novak,Roger Federer,Switzerland,8.0,6.0,108.0,160.0,77.0,108.0,22.0,52.0,10.0,15.0,23.0,45.0,130.0,25.0,41.0,4.0,21.0,24.0,99.0,160.0,70.0,171.0,169.0,331.0,Jiri Novak,Czech Republic,1.0,5.0,130.0,171.0,85.0,130.0,16.0,41.0,17.0,21.0,24.0,31.0,108.0,30.0,52.0,5.0,15.0,23.0,101.0,171.0,61.0,160.0,162.0,331.0,0
31,1999,Great Britain,"London / Queen's Club, England",07.06.1999,WS,Grass,Draw: 56,1,104.0,"$3,600",R64,Byron Black (ZIM),37,"L 3-6, 0-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1999&r=2&p=F324,London / Queen's Club,R64,52,Byron Black,Roger Federer,Switzerland,0.0,4.0,33.0,55.0,15.0,33.0,9.0,22.0,3.0,8.0,7.0,8.0,29.0,9.0,21.0,1.0,2.0,8.0,24.0,55.0,17.0,50.0,41.0,105.0,Byron Black,Zimbabwe,2.0,0.0,29.0,50.0,21.0,29.0,12.0,21.0,1.0,2.0,8.0,18.0,33.0,13.0,22.0,5.0,8.0,7.0,33.0,50.0,31.0,55.0,64.0,105.0,0
32,1999,Great Britain,"Surbiton, England",31.05.1999,CH,Grass,Draw: 32,26,111.0,"$2,500",R32,Maurice Ruah (VEN),175,"W 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=720&y=1999&r=3&p=F324,Surbiton,R32,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Ruah,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,1
33,1999,Great Britain,"Surbiton, England",31.05.1999,CH,Grass,Draw: 32,26,111.0,"$2,500",R16,John van Lottum (NED),64,"W 6-3, 3-6, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=720&y=1999&r=4&p=F324,Surbiton,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,John van Lottum,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,1
34,1999,Great Britain,"Surbiton, England",31.05.1999,CH,Grass,Draw: 32,26,111.0,"$2,500",Q,Alex O'Brien (USA),173,"W 6-1, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=720&y=1999&r=5&p=F324,Surbiton,Q,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Alex O'Brien,United States,,,,,,,,,,,,,,,,,,,,,,,,,1
35,1999,Great Britain,"Surbiton, England",31.05.1999,CH,Grass,Draw: 32,26,111.0,"$2,500",S,Sargis Sargsian (ARM),75,"L 7-6, 3-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=720&y=1999&r=6&p=F324,Surbiton,S,0,Sargis Sargsian,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Sargis Sargsian,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,0
36,1999,France,"Roland Garros, France",24.05.1999,GS,Clay,Draw: 128,1,111.0,"$9,929",R128,Patrick Rafter (AUS),3,"L 7-5, 3-6, 0-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1999&r=1&p=F324,Roland Garros,R128,133,Patrick Rafter,Roger Federer,Switzerland,3.0,3.0,60.0,108.0,37.0,60.0,24.0,48.0,10.0,17.0,17.0,25.0,84.0,13.0,33.0,2.0,9.0,18.0,61.0,108.0,38.0,117.0,99.0,225.0,Patrick Rafter,Australia,6.0,3.0,84.0,117.0,59.0,84.0,20.0,33.0,7.0,9.0,18.0,23.0,60.0,24.0,48.0,7.0,17.0,17.0,79.0,117.0,47.0,108.0,126.0,225.0,0
37,1999,Slovenia,"Ljubljana, Slovenia, Ljubljana",03.05.1999,CH,Clay,Draw: 32,44,123.0,"$6,275",R32,Eduardo Medica (ARG),117,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=754&y=1999&r=3&p=F324,Ljubljana,R32,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Medica,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,1
38,1999,Slovenia,"Ljubljana, Slovenia, Ljubljana",03.05.1999,CH,Clay,Draw: 32,44,123.0,"$6,275",R16,Radomir Vasek (CZE),237,"W 7-6, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=754&y=1999&r=4&p=F324,Ljubljana,R16,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Radomir Vasek,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,1
39,1999,Slovenia,"Ljubljana, Slovenia, Ljubljana",03.05.1999,CH,Clay,Draw: 32,44,123.0,"$6,275",Q,Juan Albert Viloca-Puig (ESP),149,"W 2-6, 6-3, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=754&y=1999&r=5&p=F324,Ljubljana,Q,0,Roger Federer,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Juan Albert Viloca-Puig,Spain,,,,,,,,,,,,,,,,,,,,,,,,,1
40,1999,Slovenia,"Ljubljana, Slovenia, Ljubljana",03.05.1999,CH,Clay,Draw: 32,44,123.0,"$6,275",S,Dinu Pescariu (ROU),99,"L 6-7, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=754&y=1999&r=6&p=F324,Ljubljana,S,0,Dinu Pescariu,Roger Federer,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,Dinu Pescariu,Romania,,,,,,,,,,,,,,,,,,,,,,,,,0
